id,value
42,59
43,16
48,921
53,126
56,185
58,299
100,200
250,80
260,87
310,208
334,191
590,95
749,1186
758,113
801,328
807,26
810,108
825,201
832,22
843,44
890,35
898,27
899,657
922,107
934,45
940,189
967,2825
969,770
974,44
995,747
996,400
1009,44
1018,126
1054,58
1073,16
1078,411
1080,25
1088,217
1102,172
1146,74
1150,140
1171,335
1179,84
1251,1725
1315,83
1389,90
1491,271
1702,382
1745,28
1000016,10
1000052,342
1000297,182
1000300,91
1000734,105
1000736,32
1000742,479
1000867,309
1000886,109
1000896,27
1000997,49
1001127,26
1001339,171
1001396,83
1001398,296
1001448,80
1001553,64
1001616,45
1001617,295
1001725,2
1001874,202
1001918,264
1001949,73
1001960,36
1002177,112
1002319,217
1002393,32
1002520,90
1002560,83
1002614,72
1002620,82
1002722,266
1002782,86
1002806,40
1002902,109
1002974,880
1002990,42
1003024,110
1003320,325
1003399,137
1003441,133
1003472,93
1003581,114
1003638,66
1003737,10
1003744,28
1003848,461
1004325,33
1004641,162
1004892,69
1005030,34
1005362,203
1006420,562
1006598,30
1006613,220
1006617,144
1006946,101
1006967,137
1008245,154
1008983,41
1009289,111
1009659,129
1010235,23
1010286,113
1011867,83
1012617,19
1013085,90
1013887,48
1014523,72
1014690,16
1014716,31
1015008,59
1015144,71
1015220,341
1015268,20
1015326,161
1015706,37
1016297,624
1016486,246
1016583,41
1016798,28
1017251,86
1018391,190
1018651,363
1018809,647
1018941,12
1018967,41
1018980,576
1019084,15
1019118,92
1019214,38
1019244,144
1019458,42
1019593,217
1019609,118
1019963,62
1020834,386
1021666,239
1021842,22
1021852,255
1021853,139
1021984,120
1022266,560
1022324,11
1023240,65
1023350,24
1026083,52
1026564,67
1026578,172
1026641,57
1026650,21
1027314,1
1028026,69
1028866,174
1029212,103
1029606,45
1029873,53
1029997,13
1030213,269
1030428,294
1030977,146
1031310,129
1031494,42
1033563,208
1033629,79
1036530,230
1037531,195
1042770,14
1045282,39
1050882,44
1052042,530
1052265,2
1054220,153
1056740,92
1057187,33
1057301,103
1059727,28
1061465,29
1062611,31
1079075,259
1089397,4
1090261,11
1090913,127
1093027,37
1094599,129
1095220,263
1104933,234
1110367,7
1114245,682
1114848,1042
1127520,20
1128342,61
1129431,2
1145950,341
1151333,181
1159308,2
